lat,lon,category,date,city_name,town_name
37.856062,139.097588,車上ねらい,2025-01-04,新潟市江南区,茅野山３丁目
37.918787,139.093706,自転車盗,2025-01-06,新潟市東区,牡丹山１丁目
37.879472,139.103130,自転車盗,2025-01-06,新潟市江南区,亀田大月１丁目
37.920589,139.097107,自転車盗,2025-01-10,新潟市東区,牡丹山５丁目
37.938444,139.099220,自転車盗,2025-01-12,新潟市東区,小金町２丁目
37.924920,139.092531,自転車盗,2025-01-13,新潟市東区,下木戸１丁目
37.876978,139.108954,自転車盗,2025-01-19,新潟市江南区,亀田向陽１丁目
37.945147,139.125447,自転車盗,2025-01-21,新潟市東区,新川町
37.911178,139.082979,自転車盗,2025-01-22,新潟市東区,中山７丁目
37.924685,139.108053,自転車盗,2025-01-24,新潟市東区,豊１丁目
37.876978,139.108954,自転車盗,2025-01-24,新潟市江南区,亀田向陽１丁目
37.924773,139.114948,自転車盗,2025-01-31,新潟市東区,大形本町３丁目
37.833455,139.105598,車上ねらい,2025-02-03,新潟市秋葉区,車場４丁目
37.908481,139.108372,自転車盗,2025-01-10,新潟市東区,中島２丁目
37.749502,139.094820,自転車盗,2025-02-15,新潟市秋葉区,舟戸２丁目
37.749502,139.094820,自転車盗,2025-02-16,新潟市秋葉区,舟戸２丁目
37.915371,139.128873,自転車盗,2025-02-14,新潟市東区,岡山
37.863387,139.040294,自転車盗,2025-02-14,新潟市江南区,曽野木２丁目
37.876138,139.081346,自転車盗,2025-02-16,新潟市江南区,下早通柳田１丁目
37.865054,139.118419,住宅侵入窃盗,2025-02-13,新潟市江南区,袋津３丁目
37.800553,139.121512,自転車盗,2025-02-22,新潟市秋葉区,新津本町１丁目
37.877718,139.107601,自転車盗,2025-02-03,新潟市江南区,東船場３丁目
37.918635,139.131495,自転車盗,2025-02-18,新潟市東区,本所
37.877740,139.107139,自転車盗,2025-02-26,新潟市江南区,東船場３丁目
37.915848,139.129531,自転車盗,2025-02-26,新潟市東区,岡山
37.915848,139.129531,自転車盗,2025-02-25,新潟市東区,岡山
37.877740,139.107139,自転車盗,2025-02-12,新潟市江南区,東船場３丁目
37.896187,139.095352,自転車盗,2025-02-25,新潟市東区,石山２丁目
37.877740,139.107139,自転車盗,2025-03-02,新潟市江南区,東船場３丁目
37.908481,139.108372,自転車盗,2025-02-28,新潟市東区,中島２丁目
37.924773,139.114948,自転車盗,2025-03-02,新潟市東区,大形本町３丁目
37.856688,139.144339,住宅侵入窃盗,2025-03-02,新潟市江南区,横越中央１丁目
37.877740,139.107139,自転車盗,2025-03-04,新潟市江南区,東船場３丁目
37.923145,139.089451,自転車盗,2025-02-26,新潟市東区,山木戸６丁目
37.908481,139.108372,自転車盗,2025-03-12,新潟市東区,中島２丁目
37.877740,139.107139,自転車盗,2025-03-12,新潟市江南区,東船場３丁目
37.912897,139.094059,自転車盗,2025-03-12,新潟市東区,竹尾３丁目
37.924773,139.114948,自転車盗,2025-03-14,新潟市東区,大形本町３丁目
37.924773,139.114948,自転車盗,2025-03-14,新潟市東区,大形本町３丁目
37.924773,139.114948,自転車盗,2025-03-15,新潟市東区,大形本町３丁目
37.915848,139.129531,自転車盗,2025-03-14,新潟市東区,岡山
37.800452,139.121149,自転車盗,2025-03-17,新潟市秋葉区,新津本町１丁目
37.877740,139.107139,自転車盗,2025-03-18,新潟市江南区,東船場３丁目
37.834524,139.112351,自転車盗,2025-03-16,新潟市秋葉区,中野３丁目
37.915358,139.129304,自転車盗,2025-03-20,新潟市東区,岡山
37.877740,139.107139,自転車盗,2025-03-21,新潟市江南区,東船場３丁目
37.876614,139.108295,自転車盗,2025-01-27,新潟市江南区,東船場１丁目
37.877740,139.107139,自転車盗,2025-03-21,新潟市江南区,東船場３丁目
