lat,lon,category,date,ward,address_text
37.899963,139.115189,容姿撮影,2026-02-18,新潟市東区,新潟市東区若葉町２丁目
37.936321,139.118423,わいせつ,2026-02-21,新潟市東区,新潟市東区松崎２丁目
37.914097,139.11116,声掛け,2026-03-20,新潟市東区,新潟市東区寺山
37.914097,139.11116,声掛け,2026-03-20,新潟市東区,新潟市東区寺山
37.799843,139.131714,その他,2026-03-30,新潟市秋葉区,新潟市秋葉区新町２丁目
37.935223,139.096954,つきまとい,2026-04-06,新潟市東区,新潟市東区河渡１丁目
37.921146,139.09552,声掛け,2026-04-14,新潟市東区,新潟市東区牡丹山４丁目
37.93866,139.101547,声掛け,2026-04-16,新潟市東区,新潟市東区松園１丁目
37.944317,139.085083,声掛け,2026-04-17,新潟市東区,新潟市東区秋葉通３丁目
37.936333,139.078033,わいせつ,2026-05-11,新潟市東区,新潟市東区大山２丁目
37.808075,139.113373,つきまとい,2026-05-14,新潟市秋葉区,新潟市秋葉区下興野
37.805115,139.104263,つきまとい,2026-05-22,新潟市秋葉区,新潟市秋葉区古田
37.916168,139.087814,容姿撮影,2026-05-26,新潟市東区,新潟市東区中山４丁目
37.799042,139.121918,声掛け,2026-06-01,新潟市秋葉区,新潟市秋葉区新津本町１丁目
37.944294,139.080643,容姿撮影,2026-06-17,新潟市東区,新潟市東区桃山町２丁目
37.875538,139.077835,声掛け,2026-06-18,新潟市江南区,新潟市江南区下早通柳田２丁目
37.909237,139.122162,声掛け,2026-06-30,新潟市東区,新潟市東区新岡山２丁目
37.914097,139.11116,わいせつ,2026-07-15,新潟市東区,新潟市東区寺山
37.896938,139.135223,わいせつ,2026-07-17,新潟市江南区,新潟市江南区大渕
37.905483,139.139786,わいせつ,2026-07-19,新潟市江南区,新潟市江南区江口
37.944309,139.111282,声掛け,2026-08-05,新潟市東区,新潟市東区太平３丁目
37.913151,139.124481,声掛け,2026-08-21,新潟市東区,新潟市東区岡山
